bin	Depth ERR10114849	Depth ERR3579731	Depth ERR3579732	Bin Id_checkm	Marker lineage_checkm	# genomes_checkm	# markers_checkm	# marker sets_checkm	Completeness_checkm	Contamination_checkm	Strain heterogeneity_checkm	Coding density_checkm	Translation table_checkm	# predicted genes_checkm	0_checkm	1_checkm	2_checkm	3_checkm	4_checkm	5+_checkm	Assembly_quast	# contigs (>= 0 bp)_quast	# contigs (>= 1000 bp)_quast	# contigs (>= 5000 bp)_quast	# contigs (>= 10000 bp)_quast	# contigs (>= 25000 bp)_quast	# contigs (>= 50000 bp)_quast	Total length (>= 0 bp)_quast	Total length (>= 1000 bp)_quast	Total length (>= 5000 bp)_quast	Total length (>= 10000 bp)_quast	Total length (>= 25000 bp)_quast	Total length (>= 50000 bp)_quast	# contigs_quast	Largest contig_quast	Total length_quast	GC (%)_quast	N50_quast	N75_quast	L50_quast	L75_quast	# N's per 100 kbp_quast	# predicted rRNA genes_quast	user_genome_gtdbtk	classification_gtdbtk	closest_genome_reference_gtdbtk	closest_genome_reference_radius_gtdbtk	closest_genome_taxonomy_gtdbtk	closest_genome_ani_gtdbtk	closest_genome_af_gtdbtk	closest_placement_reference_gtdbtk	closest_placement_radius_gtdbtk	closest_placement_taxonomy_gtdbtk	closest_placement_ani_gtdbtk	closest_placement_af_gtdbtk	pplacer_taxonomy_gtdbtk	classification_method_gtdbtk	note_gtdbtk	other_related_references(genome_id,species_name,radius,ANI,AF)_gtdbtk	msa_percent_gtdbtk	translation_table_gtdbtk	red_value_gtdbtk	warnings_gtdbtk	bin_id_pydamagebins	predicted_accuracy_pydamagebins	null_model_p0_pydamagebins	null_model_p0_stdev_pydamagebins	damage_model_p_pydamagebins	damage_model_p_stdev_pydamagebins	damage_model_pmin_pydamagebins	damage_model_pmin_stdev_pydamagebins	damage_model_pmax_pydamagebins	damage_model_pmax_stdev_pydamagebins	pvalue_pydamagebins	qvalue_pydamagebins	RMSE_pydamagebins	nb_reads_aligned_pydamagebins	coverage_pydamagebins	reflen_pydamagebins	CtoT-0_pydamagebins	CtoT-1_pydamagebins	CtoT-2_pydamagebins	CtoT-3_pydamagebins	CtoT-4_pydamagebins	CtoT-5_pydamagebins	CtoT-6_pydamagebins	CtoT-7_pydamagebins	CtoT-8_pydamagebins	CtoT-9_pydamagebins	CtoT-10_pydamagebins	CtoT-11_pydamagebins	CtoT-12_pydamagebins	GtoA-0_pydamagebins	GtoA-1_pydamagebins	GtoA-2_pydamagebins	GtoA-3_pydamagebins	GtoA-4_pydamagebins	GtoA-5_pydamagebins	GtoA-6_pydamagebins	GtoA-7_pydamagebins	GtoA-8_pydamagebins	GtoA-9_pydamagebins	GtoA-10_pydamagebins	GtoA-11_pydamagebins	GtoA-12_pydamagebins
MEGAHIT-COMEBinRefined-ERR3579732.0_sub.fa			9.75278	MEGAHIT-COMEBinRefined-ERR3579732.0_sub	p__Proteobacteria (UID3880)	1495	261	164	21.98	1.69	0.0	88.87	11	1891	186	63	12	0	0	0	MEGAHIT-COMEBinRefined-ERR3579732.0_sub.fa	913	913	0	0	0	0	1142775	1142775	0	0	0	0	913	3236	1142775	64.45	1203	1086	388	639	0.0	0 + 0 part	MEGAHIT-COMEBinRefined-ERR3579732.0_sub.fa																				MEGAHIT-COMEBinRefined-ERR3579732.0_sub.fa	0.205	0.002	0.002	0.804	0.559	0.001	0.002	0.004	0.005	0.997	1.0	0.005	196.0	9.925	1161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEGAHIT-COMEBinRefined-ERR3579732.2964.fa			16.7942	MEGAHIT-COMEBinRefined-ERR3579732.2964	o__Actinomycetales (UID2012)	35	495	282	63.51	4.02	14.29	90.55	11	4760	156	325	14	0	0	0	MEGAHIT-COMEBinRefined-ERR3579732.2964.fa	1586	1586	50	2	0	0	3327855	3327855	303781	21082	0	0	1586	10624	3327855	69.41	2296	1555	481	924	0.0	1 + 0 part	MEGAHIT-COMEBinRefined-ERR3579732.2964.fa	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Haloechinothrix_A;s__						GCA_009377395.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Haloechinothrix_A;s__Haloechinothrix_A sp009377395	96.71	0.633	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Haloechinothrix_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		58.92	11.0	0.99603		MEGAHIT-COMEBinRefined-ERR3579732.2964.fa	0.243	0.002	0.001	0.6194999999999999	0.676	0.001	0.001	0.004	0.003	0.8845000000000001	1.0	0.003	490.0	16.969	1726.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEGAHIT-CONCOCTRefined-ERR3579732.13.fa			15.328600000000002	MEGAHIT-CONCOCTRefined-ERR3579732.13	o__Burkholderiales (UID4000)	193	427	214	68.54	4.53	15.0	88.63	11	4062	137	270	20	0	0	0	MEGAHIT-CONCOCTRefined-ERR3579732.13.fa	1002	1002	139	6	1	0	3311284	3311284	948669	106402	49618	0	1002	49618	3311284	61.71	3731	2682	302	566	0.0	1 + 0 part	MEGAHIT-CONCOCTRefined-ERR3579732.13.fa	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__						GCF_003711205.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp003711205	90.12	0.28	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_021153985.1, s__Polaromonas sp021153985, 95.0, 89.7, 0.257; GCF_900103405.1, s__Polaromonas sp900103405, 95.0, 89.6, 0.156; GCF_900116715.1, s__Polaromonas sp900116715, 95.0, 89.57, 0.254; GCF_000282655.1, s__Polaromonas sp000282655, 95.0, 89.43, 0.172	58.76	11.0	0.99511		MEGAHIT-CONCOCTRefined-ERR3579732.13.fa	0.242	0.002	0.001	0.5135000000000001	0.7215	0.001	0.002	0.004	0.0025	0.933	1.0	0.003	715.0	15.465	2892.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEGAHIT-CONCOCTRefined-ERR3579732.22.fa			16.4477	MEGAHIT-CONCOCTRefined-ERR3579732.22	o__Burkholderiales (UID4105)	54	553	264	69.29	1.66	33.33	88.88	11	3671	169	378	6	0	0	0	MEGAHIT-CONCOCTRefined-ERR3579732.22.fa	787	787	194	28	0	0	3342703	3342703	1518399	377790	0	0	787	22867	3342703	65.74	4696	3306	226	440	0.0	0 + 0 part	MEGAHIT-CONCOCTRefined-ERR3579732.22.fa	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__						GCF_022763525.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__Acidovorax sp022763525	90.52	0.403	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_023913775.1, s__Acidovorax facilis, 95.0, 90.55, 0.338; GCF_002245625.1, s__Acidovorax kalamii, 95.0, 89.41, 0.232; GCF_007993815.1, s__Acidovorax delafieldii, 95.0, 89.32, 0.225; GCF_005405905.1, s__Acidovorax sp005405905, 95.0, 89.15, 0.239; GCA_018780365.1, s__Acidovorax sp018780365, 95.0, 89.12, 0.158; GCF_003231145.1, s__Acidovorax sp003231145, 95.0, 89.09, 0.214; GCF_000302535.1, s__Acidovorax sp000302535, 95.0, 88.97, 0.209; GCF_001633105.1, s__Acidovorax sp001633105, 95.0, 88.96, 0.247; GCF_000204195.1, s__Acidovorax radicis, 95.0, 88.9, 0.249; GCF_041154505.1, s__Acidovorax sp019218755, 95.0, 88.75, 0.224; GCF_016783915.1, s__Acidovorax sp016783915, 95.0, 88.75, 0.194; GCF_003058055.1, s__Acidovorax sp003058055, 95.0, 88.62, 0.215; GCF_028680575.1, s__Acidovorax benzenivorans, 95.0, 88.51, 0.221; GCA_964031875.1, s__Acidovorax facilis_A, 95.0, 88.47, 0.181; GCF_038958875.1, s__Acidovorax sp000238595, 95.0, 88.44, 0.184; GCF_001422735.1, s__Acidovorax sp001422735, 95.0, 88.34, 0.155; GCF_003852545.1, s__Acidovorax sp003852545, 95.0, 88.25, 0.216; GCF_001424425.1, s__Acidovorax sp001424425, 95.0, 88.24, 0.174; GCF_021287135.1, s__Acidovorax sp021287135, 95.0, 88.16, 0.211; GCF_003060895.1, s__Acidovorax sp003060895, 95.0, 88.01, 0.162; GCF_019219095.1, s__Acidovorax sp019219095, 95.0, 87.91, 0.168; GCF_002797445.1, s__Acidovorax sp002797445, 95.0, 87.85, 0.158; GCF_027492855.1, s__Acidovorax sp027492855, 95.0, 87.32, 0.151	57.72	11.0	0.98819		MEGAHIT-CONCOCTRefined-ERR3579732.22.fa	0.247	0.001	0.001	0.453	0.671	0.001	0.001	0.003	0.002	0.853	1.0	0.002	916.0	16.372	3529.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEGAHIT-SemiBin2Refined-ERR10114849.1.fa	32.8167			MEGAHIT-SemiBin2Refined-ERR10114849.1	o__Clostridiales (UID1120)	304	247	141	35.4	0.8	33.33	88.55	11	1071	143	101	3	0	0	0	MEGAHIT-SemiBin2Refined-ERR10114849.1.fa	644	206	0	0	0	0	594075	285607	0	0	0	0	644	4109	594075	43.08	957	705	218	398	0.0	0 + 1 part	MEGAHIT-SemiBin2Refined-ERR10114849.1.fa																				MEGAHIT-SemiBin2Refined-ERR10114849.1.fa	0.992	0.022	0.022	0.99	0.006	0.0	0.0	0.281	0.0015	0.0	0.0	0.001	658.0	31.9185	810.5	0.2805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEGAHIT-SemiBin2Refined-ERR3579731.0.fa		35.945750000000004		MEGAHIT-SemiBin2Refined-ERR3579731.0	o__Clostridiales (UID1120)	304	247	141	56.12	1.87	33.33	88.15	11	1447	107	134	6	0	0	0	MEGAHIT-SemiBin2Refined-ERR3579731.0.fa	792	357	0	0	0	0	861955	546615	0	0	0	0	792	4518	861955	42.68	1191	833	251	468	0.0	0 + 1 part	MEGAHIT-SemiBin2Refined-ERR3579731.0.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG7111;s__RGIG7111 sp036839975	GCA_036839975.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG7111;s__RGIG7111 sp036839975	99.71	0.855	GCA_036839975.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG7111;s__RGIG7111 sp036839975	99.71	0.855	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG7111;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments		38.76	11.0			MEGAHIT-SemiBin2Refined-ERR3579731.0.fa	1.0	0.15	0.042	0.341	0.024	0.036	0.01	0.5375000000000001	0.018	0.0	0.0	0.017	1214.0	52.668	922.0	0.53	0.369	0.234	0.1695	0.129	0.101	0.08	0.065	0.0545	0.046	0.04	0.036	0.033	0.532	0.377	0.238	0.169	0.134	0.1015	0.081	0.066	0.056	0.047	0.04	0.036	0.032
MEGAHIT-SemiBin2Refined-ERR3579732.19_sub.fa			11.2569	MEGAHIT-SemiBin2Refined-ERR3579732.19_sub	k__Bacteria (UID3187)	2258	188	117	52.12	8.57	14.29	91.72	11	2863	83	86	18	1	0	0	MEGAHIT-SemiBin2Refined-ERR3579732.19_sub.fa	1679	454	0	0	0	0	1490271	637415	0	0	0	0	1679	3387	1490271	70.03	909	678	567	1043	0.0	0 + 0 part	MEGAHIT-SemiBin2Refined-ERR3579732.19_sub.fa	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__JACPAU01;g__JACPAU01;s__											d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__JACPAU01;g__JACPAU01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		34.43	11.0	0.9885	Genome has more than 10.0% of markers with multiple hits	MEGAHIT-SemiBin2Refined-ERR3579732.19_sub.fa	0.228	0.004	0.002	0.517	0.702	0.003	0.004	0.009	0.007	0.997	1.0	0.008	154.0	12.082	759.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEGAHIT-SemiBin2Refined-ERR3579732.28.fa			69.128	MEGAHIT-SemiBin2Refined-ERR3579732.28	p__Euryarchaeota (UID3)	148	188	125	94.23	2.8	0.0	90.07	11	1865	19	165	4	0	0	0	MEGAHIT-SemiBin2Refined-ERR3579732.28.fa	646	533	48	1	0	0	1535213	1448991	321437	10566	0	0	646	10566	1535213	31.85	3014	1858	168	326	0.0	0 + 0 part	MEGAHIT-SemiBin2Refined-ERR3579732.28.fa	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella sp963082495	GCF_963082495.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella sp963082495	99.16	0.934							ani_screen	classification based on ANI only						MEGAHIT-SemiBin2Refined-ERR3579732.28.fa	0.601	0.002	0.001	0.9765	0.118	0.001	0.0	0.011	0.001	0.0015	0.053	0.001	2920.0	67.7535	1871.5	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEGAHIT-SemiBin2Refined-ERR3579732.31.fa			42.4991	MEGAHIT-SemiBin2Refined-ERR3579732.31	c__Bacilli (UID285)	586	318	174	52.94	6.17	4.35	89.24	11	1581	149	152	14	3	0	0	MEGAHIT-SemiBin2Refined-ERR3579732.31.fa	1049	272	0	0	0	0	908554	370765	0	0	0	0	1049	3828	908554	30.76	901	667	361	658	0.0	1 + 0 part	MEGAHIT-SemiBin2Refined-ERR3579732.31.fa	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__											d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_900476045.1, s__Gemella morbillorum, 95.0, 95.46, 0.236; GCF_041433685.1, s__Gemella sp041433685, 95.0, 94.87, 0.203	28.83	11.0	0.99439		MEGAHIT-SemiBin2Refined-ERR3579732.31.fa	0.472	0.004	0.002	0.99	0.176	0.002	0.001	0.024	0.004	0.04	0.589	0.004	760.0	40.754	750.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEGAHIT-SemiBin2Refined-ERR3579732.35.fa			152.899	MEGAHIT-SemiBin2Refined-ERR3579732.35	o__Clostridiales (UID1120)	304	247	141	91.84	0.35	0.0	87.6	11	1446	13	233	1	0	0	0	MEGAHIT-SemiBin2Refined-ERR3579732.35.fa	112	106	72	51	19	0	1445173	1440667	1351100	1198202	675366	0	112	45113	1445173	42.74	23498	13199	21	42	0.0	0 + 0 part	MEGAHIT-SemiBin2Refined-ERR3579732.35.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG7111;s__RGIG7111 sp036839975	GCA_036839975.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG7111;s__RGIG7111 sp036839975	99.77	0.955							ani_screen	classification based on ANI only						MEGAHIT-SemiBin2Refined-ERR3579732.35.fa	0.9565	0.001	0.001	0.926	0.0485	0.001	0.0	0.009	0.0	0.0	0.0	0.0	34340.0	153.1745	8513.5	0.009	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.008	0.0015	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
